Input,Target
the prom?  kat has a date?,"no, but"
"no, but","it's that hot rod joey, right? that ' s who you want me to bend my rules for?"
"it's that hot rod joey, right? that ' s who you want me to bend my rules for?","he's not a ""hot rod"".  whatever that is."
"he's not a ""hot rod"".  whatever that is.",you're not going unless your sister goes.  end of story.
you're not going unless your sister goes.  end of story.,fine.  i see that i'm a prisoner in my own house.  i'm not a daughter. i'm a possession!
i'm missing something.,"i have a date, daddy.  and he ' s not a captain of oppression like some men we know."
"always a pleasure, brucie.",didn't have you pegged for a gigglepuss fan.  aren't they a little too pre-teen belly-button ring for you?
didn't have you pegged for a gigglepuss fan.  aren't they a little too pre-teen belly-button ring for you?,fan of a fan.  you see a couple of minors come in?
fan of a fan.  you see a couple of minors come in?,never
never,"padua girls.  one tall, decent body. the other one kinda short and undersexed?"
"padua girls.  one tall, decent body. the other one kinda short and undersexed?",just sent 'em through.
you the new guy?,so they tell me...
so they tell me...,c'mon.  i'm supposed to give you the tour.
so -- which dakota you from?,"north, actually.  how'd you   ?"
"north, actually.  how'd you   ?",i was kidding. people actually live there?
i was kidding. people actually live there?,"yeah.  a couple.  we're outnumbered by the cows, though."
"yeah.  a couple.  we're outnumbered by the cows, though.",how many people were in your old school?
how many people were in your old school?,thirty-two.
thirty-two.,get out!
get out!,how many people go here?
how many people go here?,couple thousand. most of them evil
that i'm used to.,"yeah, but these guys have never seen a horse.  they just jack off to clint eastwood."
that girl -- i --,"you burn, you pine, you perish?"
"you burn, you pine, you perish?",who is she?
who is she?,bianca stratford.  sophomore. don't even think about it
bianca stratford.  sophomore. don't even think about it,why not?
why not?,"i could start with your haircut, but it doesn't matter.  she's not allowed to date until her older sister does.  and that's an impossibility."
why do girls like that always like guys like that?,"because they're bred to.  their mothers liked guys like that, and their grandmothers before them. their gene pool is rarely diluted."
"because they're bred to.  their mothers liked guys like that, and their grandmothers before them. their gene pool is rarely diluted.",he always have that shit-eating grin?
he always have that shit-eating grin?,"joey dorsey?  perma-shit-grin.  i wish i could say he's a moron, but he's number twelve in the class.  and a model.  mostly regional stuff, but he's rumored to have a big tube sock ad coming out."
you know french?,sure do ... my mom's from canada
sure do ... my mom's from canada,guess who just signed up for a tutor?
guess who just signed up for a tutor?,you mean i'd get a chance to talk to her?
you mean i'd get a chance to talk to her?,"you could consecrate with her, my friend."
"yeah, just a minor encounter with the shrew.",that's her?  bianca's sister?
that's her?  bianca's sister?,"the mewling, rampalian wretch herself."
"i teach her french, get to know her, dazzle her with charm and she falls in love with me.","unlikely, but even so, she still can't go out with you.  so what's the point?"
what about him?,you wanna go out with him?
what makes you think he'll do it?,he seems like he thrives on danger
he seems like he thrives on danger,no kidding.  he's a criminal.  i heard he lit a state trooper on fire.  he just got out of alcatraz...
no kidding.  he's a criminal.  i heard he lit a state trooper on fire.  he just got out of alcatraz...,they always let felons sit in on honors biology?
they always let felons sit in on honors biology?,"i'm serious, man, he's whacked.  he sold his own liver on the black market so he could buy new speakers."
"i'm serious, man, he's whacked.  he sold his own liver on the black market so he could buy new speakers.",forget his reputation.  do you think we've got a plan or not?
forget his reputation.  do you think we've got a plan or not?,did she actually say she'd go out with you?
did she actually say she'd go out with you?,that's what i just said
"you know, if you do go out with bianca, you'd be set.  you'd outrank everyone. strictly a-list.  with me by your side.",i thought you hated those people.
i thought you hated those people.,hey -- i've gotta have a few clients when i get to wall street.
you got him involved?,"like we had a choice?  besides -- when you let the enemy think he's orchestrating the battle, you're in a position of power. we let him pretend he's calling the shots, and while he's busy setting up the plan, you have time to woo bianca."
this is it.  a golden opportunity. patrick can ask katarina to the party.,"in that case, we'll need to make it a school-wide blow out."
"in that case, we'll need to make it a school-wide blow out.",will bogey get bent?
will bogey get bent?,are you kidding?  he'll piss himself with joy.  he's the ultimate kiss ass.
number one.  she hates smokers,it's a lung cancer issue
it's a lung cancer issue,her favorite uncle
her favorite uncle,dead at forty-one.
he's pretty!,okay!  i wasn't sure
assail your ears for one night.,it's her favorite band.
you told me that part already.,"hell, i've just been going over the whole thing in my head and -"
extremely unfortunate maneuver.,the hell is that?  what kind of 'guy just picks up a girl and carries her away while you're talking to her?
the hell is that?  what kind of 'guy just picks up a girl and carries her away while you're talking to her?,"buttholus extremus.  but hey, you're making progress."
"buttholus extremus.  but hey, you're making progress.","no, i ' m not."
you humiliated the woman! sacrifice yourself on the altar of dignity and even the score.,"best case scenario, you're back on the payroll for awhile."
and he means that strictly in a non- prison-movie type of way.,yeah -- we'll see.
what've you got for me?,i've retrieved certain pieces of information on miss katarina stratford i think you'll find helpful.
"okay -- likes:  thai food, feminist prose, and ""angry, stinky girl music of the indie-rock persuasion"".",so what does that give me?  i'm supposed to buy her some noodles and a book and sit around listening to chicks who can't play their instruments?
gigglepuss is playing there tomorrow night.,"don't make me do it, man"
"cameron, i'm a little busy",it's off. the whole thing.
what 're you talking about?,"she's partial to joey, not me"
cameron -- do you like the girl?,sure
sure,"then, go get her"
what'd you do to her?,i don ' t know.  i decided not to nail her when she was too drunk to remember it.
she hates you with the fire of a thousand suns .  that's a direct quote,she just needs time to cool off i'll give it a day.
you makin' any headway?,she kissed me.
she kissed me.,where?
what's the worst?,you get the girl.
"the vintage look is over, kat. haven't you been reading your sassy?","yeah, and i noticed the only part of you featured in your big kmart spread was your elbow.  tough break."
"yeah, and i noticed the only part of you featured in your big kmart spread was your elbow.  tough break.",they're running the rest of me next month.
hey -- do you mind?,not at all
where ya goin?,away.
away.,your sister here?
leave my sister alone.,and why would i do that?
yeah,what do you think?
"two legs, nice rack...","yeah, whatever.  i want you to go out with her."
"yeah, whatever.  i want you to go out with her.","sure, sparky.  i'll get right on it."
"sure, sparky.  i'll get right on it.",you just said
you just said,you need money to take a girl out
you need money to take a girl out,but you'd go out with her if you had the cake?
"you got it, verona.  i pick up the tab, you do the honors.",you're gonna pay me to take out some girl?
you're gonna pay me to take out some girl?,i can't date her sister until that one gets a boyfriend.  and that's the catch. she doesn't want a boyfriend.
i can't date her sister until that one gets a boyfriend.  and that's the catch. she doesn't want a boyfriend.,how much?
i can't take a girl like that out on twenty bucks.,"fine, thirty."
take it or leave it.  this isn't a negotiation.,"fifty, and you've got your man."
"when i shell out fifty, i expect results.",i'm on it
i'm on it,watching the bitch trash my car doesn't count as a date.
watching the bitch trash my car doesn't count as a date.,i got her under control. she just acts crazed in public to keep up the image.
i just upped my price,what?
what?,a hundred bucks a date.
a hundred bucks a date.,forget it.
forget it.,"forget her sister, then."
it's about time.,a deal's a deal.
how'd you do it?,do what?
do what?,get her to act like a human
"i don't know, dorsey. ..the limo.-the flowers.  another hundred for the tux --",enough with the barbie n' ken shit. i know.
hey.,are you lost?
are you lost?,nope - just came by to chat
nope - just came by to chat,we don't chat.
we don't chat.,"well, actually, i thought i'd run an idea by you.  you know, just to see if you're interested."
"well, actually, i thought i'd run an idea by you.  you know, just to see if you're interested.",we're not.
but she can't go out with you because her sister is this insane head case and no one will go out with her. right?,does this conversation have a purpose?
does this conversation have a purpose?,so what you need to do is recruit a guy who'll go out with her.  someone who's up for the job.
i hear you're helpin' verona.,"uh,  yeah.  we're old friend*"
"uh,  yeah.  we're old friend*",you and verona?
you and verona?,what?  we took bathes together when we were kids.
you better not fuck this up.  i'm heavily invested.,hey -- it's all for the higher good right?
who's that?,patrick verona   random skid.
patrick verona   random skid.,that's pat verona? the one who was gone for a year? i heard he was doing porn movies.
that's pat verona? the one who was gone for a year? i heard he was doing porn movies.,i'm sure he's completely incapable of doing anything that interesting.
i'm sure he's completely incapable of doing anything that interesting.,he always look so
he always look so,block e?
"mandella, eat.  starving yourself is a very slow way to die.",just a little.
what's this?,an attempted slit.
"i realize that the men of this fine institution are severely lacking, but killing yourself so you can be with william shakespeare is beyond the scope of normal teenage obsessions.  you're venturing far past daytime talk show fodder and entering the world of those who need very expensive therapy.",but imagine the things he'd say during sex.
the people at this school are so incredibly foul.,you could always go with me.  i'm sure william has some friends.
"so he has this huge raging fit about sarah lawrence and insists that i go to his male-dominated, puking frat boy, number one golf team school. i have no say at all.",william would never have gone to a state school.
william would never have gone to a state school.,william didn't even go to high school
william didn't even go to high school,that's never been proven
that's never been proven,neither has his heterosexuality.
"i appreciate your efforts toward a speedy death, but i'm consuming.  do you mind?",does it matter?
does it matter?,"if i was bianca, it would be, ""any school you want, precious.  don't forget your tiara."""
you think this'll work?,no fear.
what'd he say?,who cares?
you went to the party?  i thought we were officially opposed to suburban social activity.,i didn't have a choice.
i didn't have a choice.,you didn't have a choice?  where's kat and what have you done with her?
you didn't have a choice?  where's kat and what have you done with her?,i did bianca a favor and it backfired.
i did bianca a favor and it backfired.,you didn't
you didn't,i got drunk.  i puked.  i got rejected. it was big fun.
can you even imagine?  who the hell would go to this a bastion of commercial excess?,"well, i guess we're not, since we don't have dates ."
"well, i guess we're not, since we don't have dates .","listen to you!  you sound like betty, all pissed off because archie is taking veronica."
"listen to you!  you sound like betty, all pissed off because archie is taking veronica.","okay, okay, we won't go.  it's not like i have a dress anyway"
"okay, okay, we won't go.  it's not like i have a dress anyway",you ' re looking at this from the wrong perspective.  we're making a statement.
you ' re looking at this from the wrong perspective.  we're making a statement.,"oh, good.  something new and different for us."
have you seen him?,who?
who?,william - he asked me to meet him here.
william - he asked me to meet him here.,"oh, honey -- tell me we haven't' progressed to full-on hallucinations."
i mean wo-man.  how ya doin'?,"sweating like a pig, actually.  and yourself?"
"sweating like a pig, actually.  and yourself?",there's a way to get a guy's attention.
there's a way to get a guy's attention.,my mission in life.
"pick you up friday, then","oh, right.  friday."
the night i take you to places you've never been before.  and back.,"like where?  the 7-eleven on burnside? do you even know my name, screwboy?"
"like where?  the 7-eleven on burnside? do you even know my name, screwboy?",i know a lot more than that
you hate me don't you?,i don't really think you warrant that strong an emotion.
i don't really think you warrant that strong an emotion.,then say you'll spend dollar night at the track with me.
then say you'll spend dollar night at the track with me.,and why would i do that?
and why would i do that?,"come on -- the ponies, the flat beer, you with money in your eyes, me with my hand on your ass..."
"come on -- the ponies, the flat beer, you with money in your eyes, me with my hand on your ass...",you -- covered in my vomit.
you -- covered in my vomit.,seven-thirty?
are you following me?,i was in the laundromat. i saw your car. thought i'd say hi.
i was in the laundromat. i saw your car. thought i'd say hi.,hi
"you're not a big talker, are you?",depends on the topic. my fenders don't really whip me into a verbal frenzy.
"hey.  great show, huh?",
excuse me?,"that's what you want, isn't it?"
"that's what you want, isn't it?",do you mind?  you're sort of ruining it for me.
"you know, these guys are no bikini kill or the raincoats, but they're right up there.",you know who the raincoats are?
you know who the raincoats are?,"why, don't you?"
what's this?,"i'm getting trashed, man. isn't that what you're supposed to do at a party?"
"i'm getting trashed, man. isn't that what you're supposed to do at a party?","i say, do what you wanna do."
"i say, do what you wanna do.","funny, you're the only one"
okay?,i'm fine. i'm
you're not okay.,i just need to lie down for awhile
i just need to lie down for awhile,"uh, uh. you lie down and you'll go to sleep"
"uh, uh. you lie down and you'll go to sleep","i know, just let me sleep"
"i know, just let me sleep",what if you have a concussion? my dog went to sleep with a concussion and woke up a vegetable. not that i could tell the difference...
this is so patronizing.,leave it to you to use big words when you're shitfaced.
leave it to you to use big words when you're shitfaced.,why 're you doing this?
why 're you doing this?,i told you
i told you,you don't care if i die
you don't care if i die,"sure, i do"
"sure, i do",why?
why?,because then i'd have to start taking out girls who like me.
because then i'd have to start taking out girls who like me.,like you could find one
like you could find one,see that?  who needs affection when i've got blind hatred?
see that?  who needs affection when i've got blind hatred?,just let me sit down.
why'd you let him get to you?,who?
who?,dorsey.
dorsey.,i hate him.
i hate him.,i know.  it'd have to be a pretty big deal to get you to mainline tequila. you don't seem like the type.
i know.  it'd have to be a pretty big deal to get you to mainline tequila. you don't seem like the type.,"hey man. . .  you don ' t think i can be ""cool""?  you don't think i can be ""laid back"" like everyone else?"
"hey man. . .  you don ' t think i can be ""cool""?  you don't think i can be ""laid back"" like everyone else?",i thought you were above all that
i thought you were above all that,you know what they say
kat! wake up!,what?
and i'm in control of it.,but it's gigglepuss - i know you like them.  i saw you there.
when you were gone last year -- where were you?,busy
busy,were you in jail?
were you in jail?,maybe.
maybe.,"no, you weren't"
"no, you weren't",then why'd you ask?
then why'd you ask?,why'd you lie?
i should do this.,do what?
do what?,this.
start a band?,my father wouldn't approve of that that
my father wouldn't approve of that that,you don't strike me as the type that would ask permission.
"oh, so now you think you know me?",i'm gettin' there
so what ' s up with your dad?  he a pain in the ass?,he just wants me to be someone i'm not.
he just wants me to be someone i'm not.,who?
who?,bianca
bianca,"no offense, but you're sister is without.  i know everyone likes her and all, but ..."
"excuse me, have you seen the feminine mystique?  i lost my copy.",what are you doing here?
what are you doing here?,i heard there was a poetry reading.
i heard there was a poetry reading.,you 're so --
you 're so --,pleasant?
wholesome.,unwelcome.
unwelcome.,unwelcome?  i guess someone still has her panties in a twist.
unwelcome?  i guess someone still has her panties in a twist.,don't for one minute think that you had any effect whatsoever on my panties.
don't for one minute think that you had any effect whatsoever on my panties.,so what did i have an effect on ?
so what did i have an effect on ?,other than my upchuck reflex? nothing.
he left!  i sprung the dickhead and he cruised on me.,"look up, sunshine"
i guess i never told you i'm afraid of heights.,c'mon.  it's not that bad
c'mon.  it's not that bad,try lookin' at it from this angle
put your right foot there --,forget it.  i'm stayin'.
forget it.  i'm stayin'.,you want me to climb up and show you how to get down?
you want me to climb up and show you how to get down?,maybe.
the partridge family?,i figured it had to be something ridiculous to win your respect.  and piss you off.
i figured it had to be something ridiculous to win your respect.  and piss you off.,good call.
good call.,so how'd you get chapin to look the other way?
so how'd you get chapin to look the other way?,i dazzled him with my wit
a soft side? who knew?,"yeah, well, don't let it get out"
"yeah, well, don't let it get out",so what's your excuse?
so what's your excuse?,acting the way we do.
acting the way we do.,yes
yes,i don't like to do what people expect. then they expect it all the time and they get disappointed when you change.
i don't like to do what people expect. then they expect it all the time and they get disappointed when you change.,"so if you disappoint them from the start, you're covered?"
"so if you disappoint them from the start, you're covered?",something like that
something like that,then you screwed up
then you screwed up,how?
how?,you never disappointed me.
you up for it?,for. . . ?
state trooper?,fallacy.
fallacy.,the duck?
the duck?,hearsay.
hearsay.,i know the porn career's a lie.
tell me something true.,i hate peas.
i hate peas.,no -- something real.  something no one else knows.
no -- something real.  something no one else knows.,you're sweet.  and sexy.  and completely hot for me.
you're sweet.  and sexy.  and completely hot for me.,what?
what?,no one else knows
no one else knows,you're amazingly self-assured. has anyone ever told you that?
you're amazingly self-assured. has anyone ever told you that?,go to the prom with me
is that a request or a command?,you know what i mean
you know what i mean,no.
no.,no what?
no what?,"no, i won't go with you"
"no, i won't go with you",why not?
why not?,because i don't want to. it's a stupid tradition.
create a little drama?  start a new rumor?  what?,so i have to have a motive to be with you?
so i have to have a motive to be with you?,you tell me.
you tell me.,you need therapy.  has anyone ever told you that?
you need therapy.  has anyone ever told you that?,"answer the question, patrick"
"answer the question, patrick",nothing!  there's nothing in it for me. just the pleasure of your company.
how'd you get a tux at the last minute?,it's scurvy's.  his date got convicted. where'd you get the dress?
it's scurvy's.  his date got convicted. where'd you get the dress?,it's just something i had.  you know
it's just something i had.  you know,oh huh
oh huh,"look, i'm  -- sorry -- that i questioned your motives.  i was wrong."
my grandmother's .,what?
what?,"that's where i was last year.  she'd never lived alone -- my grandfather died -- i stayed with her.  i wasn't in jail, i don't know marilyn manson, and i've never slept with a spice girl.  i spent a year sitting next to my grandma on the couch watching wheel of fortune.  end of story."
that ' s completely adorable!,it gets worse -- you still have your freshman yearbook?
wait i...,you were paid to take me out!  by -- the one person i truly hate.  i knew it was a set-up!
you were paid to take me out!  by -- the one person i truly hate.  i knew it was a set-up!,it wasn't like that.
it wasn't like that.,"really?  what was it like?  a down payment now, then a bonus for sleeping with me?"
"really?  what was it like?  a down payment now, then a bonus for sleeping with me?",i didn't care about the money.
a fender strat. you bought this?,i thought you could use it. when you start your band.
"besides, i had some extra cash. some asshole paid me to take out a really great girl.",is that right?
is that right?,"yeah, but then i fucked up. i fell for her."
why is my veggie burger the only burnt object on this grill?,because i like to torture you.
because i like to torture you.,"oh, bianca?  can you get me my freshman yearbook?"
"oh, bianca?  can you get me my freshman yearbook?",don ' t you even dare. . .
i know.,i thought we decided you were going to school here.  at u of 0.
i thought we decided you were going to school here.  at u of 0.,you decided.
this from someone whose diary is devoted to favorite grooming tips?,enough!
my insurance does not cover pms,then tell them i had a seizure.
then tell them i had a seizure.,is this about sarah lawrence? you punishing me?
is this about sarah lawrence? you punishing me?,i thought you were punishing me.
i thought you were punishing me.,why can't we agree on this?
why can't we agree on this?,because you're making decisions for me.
because you're making decisions for me.,"as a parent, that's my right"
"as a parent, that's my right",so what i want doesn't matter?
so what i want doesn't matter?,you're eighteen.  you don't know what you want.  you won't know until you're forty-five and you don't have it.
you're eighteen.  you don't know what you want.  you won't know until you're forty-five and you don't have it.,i want to go to an east coast school! i want you to trust me to make my own choices.  i want --
was that your sister?,yeah.  she left with some bikers big ones.  full of sperm.
yeah.  she left with some bikers big ones.  full of sperm.,funny.
i don't understand the allure of dehydrated food.  is this something i should be hip to?,"no, daddy."
"no, daddy.",so tell me about this dance. was it fun?
so tell me about this dance. was it fun?,parts of it.
parts of it.,which parts?
which parts?,the part where bianca beat the hell out of some guy.
the part where bianca beat the hell out of some guy.,bianca did what?
bianca did what?,what's the matter?  upset that i rubbed off on her?
what's the matter?  upset that i rubbed off on her?,no -- impressed.
"you know, fathers don't like to admit that their daughters are capable of running their own lives.  it means we've become spectators.  bianca still lets me play a few innings.  you've had me on the bleachers for years.  when you go to sarah lawrence, i won't even be able to watch the game.",when i go?
when i go?,"oh, christ.  don't tell me you've changed your mind.  i already sent 'em a check."
"katarina stratford.  my, my.  you've been terrorizing ms. blaise again.",expressing my opinion is not a terrorist action.
expressing my opinion is not a terrorist action.,"well, yes, compared to your other choices of expression this year, today's events are quite mild.  by the way, bobby rictor's gonad retrieval operation went quite well, in case you're interested."
"well, yes, compared to your other choices of expression this year, today's events are quite mild.  by the way, bobby rictor's gonad retrieval operation went quite well, in case you're interested.",i still maintain that he kicked himself in the balls.  i was merely a spectator.
i still maintain that he kicked himself in the balls.  i was merely a spectator.,the point is kat -- people perceive you as somewhat ...
tempestuous?,"no ... i believe ""heinous bitch"" is the term used most often."
"am i supposed to feel better? like, right now?  or do i have some time to think about it?",just smack her now.
hey there.  tired of breathing?,hi.
hi.,cool pictures.  you a fan?
cool pictures.  you a fan?,yeah.  i guess.
you think?,oh yeah.
"macbeth, right?",right.
right.,"kat a fan, too?"
"kat a fan, too?",yeah...
say it,what?
what?,whatever the hell it is you're standin' there waitin' to say.
what plan?,"the situation is, my man cameron here has a major jones for bianca stratford."
"the situation is, my man cameron here has a major jones for bianca stratford.",what is it with this chick?  she have three tits?
i think i speak correctly when i say that cameron's love is pure.  purer than say -- joey dorsey's.,dorsey can plow whoever he wants. i'm just in this for the cash.
that's where we can help you.  with kat.,so dorsey can get the girl?
so dorsey can get the girl?,"patrick, pat, you're not looking at the big picture.  joey's just a pawn. we set this whole thing up so cameron can get the girl."
you two are gonna help me tame the wild beast?,we're your guys.
what?!,good enough.
"are you telling me i'm a -  ""non-smoker""?",just for now.
ever been to club skunk?,yeah.
i prefer to think of it simply as an alternative to what the law allows.,i'm likin' you guys better
so you got cozy with she who stings?,no - i've got a sweet-payin' job that i'm about to lose.
you were right. she's still pissed.,"sweet love, renew thy force!"
"sweet love, renew thy force!",man -- don't say shit like that to  me. people can hear you.
i missed you.,it says here you exposed yourself to a group of freshmen girls.
it says here you exposed yourself to a group of freshmen girls.,it was a bratwurst.  i was eating lunch.
it was a bratwurst.  i was eating lunch.,with the teeth of your zipper?
